Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
0,298.5,309.6,1441,48.2,107
-1,302.4,310.2,1503,36.2,166
-1,300.0,309.6,1496,38.8,27
-1,302.3,310.9,1403,47.2,173
0,300.3,309.5,1320,62.2,142
-1,304.4,313.6,1585,38.9,9
-1,297.6,308.3,1523,39.5,137
-1,303.4,311.6,1564,41.9,137
0,302.3,311.8,1463,35.7,197
0,300.0,309.1,1474,45.2,152
-1,298.4,309.7,1518,39.8,165
-1,302.1,310.1,1543,35.8,164
1,304.1,313.3,1397,49.6,34
-1,298.5,309.4,1418,45.1,148
-1,299.5,309.1,1852,22.6,77
-1,297.4,308.4,1343,40.0,61
-1,301.1,309.7,1668,30.8,158
-1,300.8,310.2,1850,22.8,33
-1,301.5,310.6,1579,28.0,220
0,302.1,311.5,1866,23.1,159
-1,299.0,308.5,1559,38.1,194
-1,297.6,308.7,1622,37.9,79
0,300.2,310.3,1478,38.1,45
-1,297.4,308.6,1324,59.1,118
-1,296.9,307.6,1452,45.7,122
-1,300.4,309.5,1711,29.2,215
-1,300.5,311.3,1490,41.8,39
-1,300.9,310.0,2595,13.7,207
-1,296.9,307.7,1550,39.7,124
-1,299.4,309.2,1556,35.7,75
-1,300.4,309.7,1692,27.4,115
0,301.1,310.7,1621,31.0,108
-1,300.3,309.2,1649,32.4,50
-1,299.9,311.0,1747,27.6,177
0,300.4,311.0,1433,46.1,199
-1,301.5,311.1,2076,18.7,103
-1,300.2,309.7,1275,60.7,15
-1,300.8,311.3,1498,40.2,73
0,301.5,310.6,1492,43.0,100
-1,301.0,311.0,1581,37.0,127
0,298.2,309.3,2056,18.7,144
0,298.1,307.8,1514,43.5,78
-1,301.0,311.4,1573,37.6,103
-1,298.1,309.0,1437,36.2,95
0,303.6,312.3,1915,22.3,116
-1,301.9,310.9,1567,39.0,214
-1,298.6,308.4,1397,46.4,36
-1,298.9,310.0,1452,48.9,185
1,297.8,309.0,1410,48.8,23
-1,297.2,307.9,1441,40.0,195
-1,300.9,310.9,1477,41.5,100
1,302.3,310.6,1525,48.7,114
0,302.5,310.5,1527,38.8,136
-1,301.1,311.0,1565,52.3,183
1,302.2,311.6,1594,36.8,82
0,299.3,308.9,1858,24.7,101
0,300.3,311.6,1304,62.8,118
0,299.6,308.9,1568,35.3,77
1,300.6,310.7,1501,45.3,175
0,298.7,309.0,1843,25.8,130
0,299.1,309.5,1339,48.2,86
-1,301.7,310.7,1763,25.9,3
0,303.0,311.2,1592,38.9,188
-1,298.5,309.6,1421,53.6,122
-1,298.2,307.9,1551,34.1,190
-1,298.8,309.9,1320,47.4,210
-1,298.6,309.5,1547,44.8,36
-1,303.0,312.7,1361,48.8,120
1,302.3,310.1,1383,42.9,24
1,302.7,311.5,1556,35.0,164
0,297.2,308.0,1478,42.5,56
-1,297.5,308.6,1208,62.3,28
0,298.8,309.7,1480,38.1,157
-1,301.5,311.1,2055,16.8,105
0,297.6,308.6,1414,45.4,138
0,298.1,308.0,1543,41.9,73
0,303.3,311.5,1569,36.6,47
0,297.4,309.0,1520,37.0,147
-1,300.0,311.3,1703,30.4,85
-1,301.3,310.6,1436,44.2,76
0,300.7,311.0,1378,51.6,130
-1,296.8,307.8,1480,39.4,122
-1,301.0,312.0,1447,36.8,31
-1,297.5,308.5,1691,33.1,9
-1,301.8,311.2,1417,55.9,156
0,299.9,310.4,1576,34.3,188
-1,296.8,307.6,1588,37.6,126
1,298.5,309.1,2051,19.0,184
-1,300.3,311.1,1676,28.6,158
0,299.3,308.5,1496,39.4,80
-1,302.6,310.3,1647,34.2,14
-1,301.0,310.9,1296,54.9,69
1,298.7,308.6,1499,43.5,84
-1,297.1,308.4,1529,40.4,165
-1,298.3,307.7,1576,33.8,171
0,298.2,308.9,1414,44.3,68
-1,299.0,310.4,1382,53.0,89
-1,297.8,308.4,1612,32.1,183
0,298.5,309.4,1521,37.5,94
0,299.7,309.2,1608,34.4,68
-1,298.0,307.7,1606,30.8,17
-1,301.4,311.1,1462,37.1,41
0,300.3,311.7,1236,57.5,12
-1,303.3,311.4,1510,37.3,36
-1,300.5,312.0,1498,42.9,25
1,302.3,311.4,1443,44.1,51
1,298.3,309.0,1823,25.9,181
-1,300.2,311.8,1379,51.0,46
0,296.9,307.5,1332,51.1,121
-1,296.7,307.7,1927,23.9,112
-1,301.7,310.2,1331,61.2,47
-1,302.3,310.9,1620,30.3,112
-1,298.8,308.8,1523,44.4,55
-1,300.4,311.3,1608,35.1,114
-1,299.0,310.3,1472,36.1,97
0,300.5,311.6,1246,52.9,165
0,302.3,311.6,1668,33.2,52
1,298.9,309.7,1407,48.6,161
0,303.8,313.2,1732,29.6,147
-1,302.7,312.4,1477,46.3,251
0,301.1,311.1,2089,19.8,162
0,299.4,310.9,1473,40.1,7
0,301.1,311.1,1436,41.8,156
-1,300.6,310.1,1656,32.7,44
-1,304.1,313.1,1556,36.3,86
0,298.7,309.9,2083,18.2,205
-1,297.4,309.4,1473,45.5,94
1,297.5,308.5,1671,28.0,158
0,302.3,311.1,1435,43.1,149
-1,302.2,311.5,1548,32.4,81
0,296.9,308.1,1483,44.3,219
-1,300.7,310.7,1333,61.0,177
-1,299.7,309.4,1650,29.8,93
-1,301.5,310.7,1424,51.1,22
-1,299.0,310.1,1375,48.9,59
-1,300.6,311.7,1556,34.9,76
-1,301.4,310.7,1280,61.0,106
0,302.3,311.0,1450,45.7,175
-1,300.8,312.4,1365,44.5,129
1,301.4,310.6,1674,33.6,49
-1,299.1,308.3,1325,46.9,28
-1,298.4,309.5,1520,38.1,106
0,303.1,312.5,1766,26.7,157
0,299.2,308.8,1314,52.5,193
0,300.4,311.7,1555,38.7,5
-1,302.8,311.1,1550,32.3,76
-1,297.9,309.7,2194,16.8,27
-1,301.4,310.7,1786,26.1,123
-1,297.2,308.3,1693,28.0,188
0,301.3,311.0,1463,50.2,214
1,298.5,309.6,1579,33.5,91
-1,302.3,310.9,1545,36.7,18
-1,298.7,309.9,1465,39.7,72
-1,296.5,307.6,1512,43.6,92
0,299.1,310.6,1397,49.5,165
0,298.2,308.4,1510,39.9,134
-1,302.0,311.2,1434,44.9,15
0,301.8,310.3,1409,52.5,26
-1,298.2,308.3,1475,49.9,47
1,299.2,308.8,1908,21.3,104
-1,298.0,307.7,1430,47.3,49
0,298.8,310.2,1583,35.7,116
0,299.8,309.6,1434,48.0,82
-1,300.8,310.9,1398,38.2,50
1,298.2,310.0,1433,44.2,68
-1,302.8,310.6,2016,19.9,199
0,298.5,309.3,1761,27.2,49
0,297.8,307.8,1622,32.1,18
-1,300.7,310.7,1541,41.3,82
-1,297.9,307.8,1286,59.5,55
1,299.7,310.8,1418,46.6,197
-1,297.3,308.2,1553,33.5,2
-1,298.4,308.1,1395,44.0,92
-1,299.6,309.4,1331,46.4,16
0,300.5,309.8,1555,38.9,166
-1,298.4,309.7,1457,44.2,175
-1,300.1,311.5,1454,52.4,90
0,301.1,311.1,1470,40.6,159
0,303.8,312.6,1406,47.1,162
-1,301.3,310.8,1450,46.9,59
0,299.3,308.4,1542,37.5,203
0,300.0,309.6,1491,42.0,29
0,298.9,310.1,1513,41.5,80
-1,298.0,307.8,1716,26.6,9
-1,298.8,309.7,1424,49.6,129
-1,302.3,311.7,2170,18.2,91
0,298.0,308.5,1666,31.0,198
1,299.3,310.4,1393,44.9,162
0,299.5,309.3,1902,24.0,151
-1,302.4,311.8,1465,40.2,143
1,299.0,310.1,1555,38.6,118
0,304.1,313.2,1586,41.1,129
-1,296.8,307.9,1706,30.8,111
-1,301.4,310.5,1647,33.3,85
1,297.2,307.9,1450,37.2,151
-1,300.2,311.4,1425,44.2,84
0,302.6,310.4,1451,43.1,35
0,298.8,310.1,1243,74.5,194
-1,297.8,307.7,1505,39.7,25
-1,302.6,312.1,1288,68.5,0
-1,299.6,310.6,1642,35.1,149
0,300.6,310.3,1614,32.7,0
-1,300.4,311.1,1405,54.1,193
-1,302.3,310.1,1513,40.4,22
-1,300.5,310.4,1702,33.1,71
-1,298.2,308.8,1616,33.7,16
0,301.6,310.8,1290,65.3,63
-1,300.1,311.4,1629,31.3,41
-1,298.2,308.3,2216,16.8,139
0,303.4,311.6,1446,50.0,163
0,300.1,311.4,1617,39.3,47
0,300.8,310.9,1522,41.7,115
0,298.8,308.7,1543,38.2,44
0,301.1,310.5,1547,35.8,81
0,298.6,309.5,1426,45.4,38
-1,298.6,309.9,1593,37.4,47
-1,298.8,309.1,1489,49.1,128
0,299.9,309.4,1399,54.8,3
1,296.7,308.1,1528,46.3,203
0,303.6,312.1,1967,20.9,2
0,302.7,312.2,1350,58.6,2
-1,302.9,312.4,1561,34.8,150
-1,303.0,311.3,1466,43.0,210
-1,301.6,310.1,1687,26.6,16
0,297.3,308.2,1846,24.5,41
0,300.2,310.1,1550,38.7,45
-1,301.7,311.2,1482,43.6,154
-1,300.7,310.6,1447,40.7,82
0,302.5,310.3,1710,27.3,186
-1,297.1,308.3,1496,45.8,190
-1,304.1,313.2,1468,39.4,148
-1,302.3,311.0,1528,43.1,30
-1,300.7,310.8,1772,27.3,69
-1,302.8,310.9,1312,52.2,40
-1,303.3,311.4,1732,25.6,232
0,301.1,310.7,2219,16.7,79
-1,299.3,310.4,1725,26.8,167
-1,303.3,312.1,1418,44.7,83
-1,297.5,308.9,1390,47.4,187
-1,301.7,310.7,1532,39.8,92
0,298.9,310.0,1520,35.6,48
-1,300.7,311.9,1476,42.0,196
0,298.9,310.0,1561,45.3,58
1,302.4,311.2,1506,40.8,204
0,297.8,309.1,1424,45.5,2
-1,298.9,309.9,1373,52.1,108
-1,300.2,310.1,1649,30.5,43
-1,301.0,311.2,1363,46.3,62
-1,297.9,307.6,1515,40.5,118
0,297.6,307.1,1471,44.9,14
0,302.3,310.9,1558,31.9,207
-1,300.3,311.9,1692,31.5,187
-1,303.7,312.4,1525,43.9,188
1,301.7,311.0,2016,19.3,180
0,303.3,311.8,1583,33.3,72
-1,297.1,307.8,1636,30.3,90
-1,299.2,310.4,1379,46.8,39
-1,297.8,308.7,1404,44.2,62
-1,301.5,310.9,1600,39.0,160
-1,297.5,308.7,1429,44.3,201
-1,298.1,309.9,1634,30.0,53
-1,300.1,309.4,1453,47.6,28
0,300.3,311.1,1477,44.2,166
-1,298.8,309.8,1437,42.8,23
0,303.4,312.6,2706,9.8,65
1,300.3,311.7,1432,47.7,61
-1,297.4,308.4,1421,46.0,124
-1,301.0,309.7,1468,42.0,141
-1,300.6,309.5,1437,40.0,55
-1,298.7,309.8,1354,53.3,212
0,302.1,310.7,1376,46.3,210
-1,297.9,309.9,1542,33.8,33
-1,302.0,310.5,2197,15.8,133
0,302.2,311.2,1471,41.9,166
1,300.2,309.8,1374,47.7,8
-1,298.4,309.2,2118,17.7,210
-1,298.0,308.2,1469,45.5,214
1,302.5,311.8,2370,14.7,198
-1,298.1,307.6,1498,42.9,171
-1,300.0,309.4,1308,50.2,32
1,303.9,313.2,1680,29.1,201
-1,298.4,308.6,1433,47.1,101
0,297.4,309.0,1685,30.7,177
-1,300.3,309.9,1601,31.7,180
-1,301.2,310.4,1390,49.9,74
-1,297.4,308.7,1429,57.4,96
-1,298.5,309.3,1471,44.7,119
1,298.4,309.3,1694,30.9,111
-1,300.7,309.8,1363,53.1,183
0,298.3,307.8,1457,52.5,98
-1,304.1,313.3,1452,43.9,182
-1,301.5,310.8,1382,52.4,165
0,299.6,310.9,1474,39.7,64
0,302.1,311.5,1635,31.6,23
-1,301.8,311.5,1443,43.3,134
-1,298.2,308.8,1540,34.8,32
1,296.1,306.8,1645,31.0,41
-1,299.4,309.3,1596,31.8,40
-1,295.6,306.2,1428,44.5,51
-1,300.4,311.7,1459,45.6,3
0,299.0,310.3,1662,33.6,67
1,298.3,309.5,1427,54.3,89
0,303.4,311.7,1690,34.9,189
-1,298.8,309.6,1890,24.0,173
-1,299.9,309.1,1412,48.3,198
0,301.2,310.1,1558,32.6,34
-1,300.4,311.9,1476,48.7,189
1,299.0,308.5,1623,33.5,154
-1,298.5,308.3,1811,24.7,27
0,298.3,309.3,1376,57.0,198
-1,297.1,308.5,1425,40.0,35
-1,296.2,307.2,1382,52.0,201
-1,299.3,308.8,1636,29.9,201
-1,302.8,312.3,1764,29.9,162
-1,299.6,309.2,1425,45.9,133
-1,300.7,310.2,1387,50.6,83
-1,299.3,308.9,1623,31.1,152
-1,302.5,310.9,1330,56.9,97
-1,299.7,309.6,1359,50.7,161
-1,302.7,312.0,1501,37.0,77
-1,298.3,308.5,1538,32.2,173
-1,300.3,311.6,1560,37.7,107
0,300.7,310.3,1659,29.8,6
1,300.5,310.6,1378,51.5,166
-1,297.7,308.4,1289,51.3,82
0,300.9,311.3,1801,24.6,100
-1,298.9,310.0,1776,25.7,51
-1,298.4,308.6,1477,44.0,124
-1,301.4,310.9,1536,38.3,9
-1,299.0,308.5,1604,34.7,159
0,298.2,307.9,1529,36.6,105
0,300.6,310.2,1478,40.1,5
-1,303.3,312.6,1623,34.6,102
0,298.3,307.9,1485,42.0,117
0,297.4,308.8,1325,62.4,204
-1,297.6,308.3,1742,27.7,13
0,297.3,308.4,1434,44.8,21
1,303.2,311.4,1607,36.6,43
0,299.8,309.7,1320,61.7,134
0,299.6,310.1,1455,46.1,76
-1,297.1,308.4,1422,42.1,148
-1,301.7,310.6,1447,56.9,47
-1,301.7,310.1,2695,12.6,10
0,297.7,309.0,1433,41.8,16
-1,302.0,310.5,1263,60.6,90
0,299.4,309.0,1381,44.9,88
1,301.1,310.6,1782,24.9,93
-1,302.0,310.5,1809,27.1,175
0,302.3,311.7,1486,39.6,147
-1,296.3,307.2,1637,31.6,27
-1,302.5,310.4,1488,48.4,134
-1,303.9,313.1,1586,31.9,108
-1,303.8,312.9,1819,23.7,16
0,298.1,308.0,1686,29.3,35
1,297.6,308.3,1400,44.3,43
-1,302.4,311.2,1466,43.9,152
-1,303.1,312.8,2329,15.1,113
-1,298.1,307.9,1517,40.8,50
0,300.8,311.2,1488,40.1,87
0,303.5,312.4,1318,54.2,177
1,297.6,309.6,1669,32.1,155
-1,298.2,308.3,1400,48.7,194
0,302.3,310.7,1559,33.9,119
1,299.6,309.2,1597,36.3,35
-1,298.6,309.3,1702,27.6,143
-1,301.0,311.9,1889,23.5,198
-1,299.5,308.7,2549,13.0,179
0,296.4,307.3,2077,19.1,80
0,299.6,309.2,1651,30.8,92
-1,300.5,311.9,1546,39.4,203
-1,303.9,313.2,1481,40.0,100
-1,300.9,312.1,1711,28.8,74
-1,296.7,307.6,1474,41.7,148
-1,300.8,309.7,1997,20.7,5
1,299.3,308.7,1408,44.4,82
-1,302.6,311.9,1453,39.1,84
-1,298.9,308.9,1450,47.5,9
1,298.8,310.1,1567,36.8,197
-1,302.2,311.4,1510,44.9,33
-1,297.8,307.8,1563,34.3,53
0,296.6,307.4,1544,42.3,170
0,301.4,310.6,1464,37.4,74
-1,298.9,309.9,1590,31.3,98
-1,302.5,310.3,1584,35.5,158
-1,299.2,308.5,1488,40.3,148
-1,303.0,311.1,1525,40.7,179
1,297.9,307.8,1635,34.0,142
1,302.1,311.0,1729,26.1,210
-1,300.8,311.8,1928,21.8,209
-1,300.6,309.5,1516,39.0,142
0,300.2,311.5,1547,40.9,66
-1,300.9,310.5,1570,40.1,79
0,299.9,309.9,1639,42.1,159
0,298.9,308.5,1456,50.0,156
0,297.5,308.5,1447,41.6,118
1,301.1,310.0,1470,40.1,23
-1,296.6,308.0,1978,22.3,208
-1,303.5,313.0,1465,41.0,56
-1,299.1,308.2,1348,56.1,110
-1,297.2,308.1,1662,31.3,0
1,302.1,311.2,1598,37.9,148
-1,298.8,309.7,1953,20.6,25
0,303.6,313.0,1396,38.2,117
-1,300.8,310.7,1358,48.1,198
0,298.8,310.0,1529,38.5,77
0,302.4,310.2,1392,55.8,143
0,297.0,307.9,1569,33.3,141
-1,300.4,311.3,1639,34.6,24
0,299.3,308.5,1422,43.1,186
-1,299.5,309.1,1415,49.2,8
-1,302.5,311.9,1265,59.8,119
-1,297.2,308.3,1656,30.3,124
-1,300.7,311.8,1564,36.8,11
-1,299.0,308.6,1434,45.9,108
-1,298.2,308.2,1466,42.4,164
0,298.1,308.0,1924,20.8,29
0,299.0,309.8,2240,15.9,144
-1,299.4,309.2,1444,48.2,24
-1,303.7,312.5,1670,26.1,139
-1,301.1,312.3,1464,35.3,65
-1,297.6,308.5,1678,34.2,114
0,298.8,309.7,1448,44.8,31
0,302.4,311.9,1422,46.4,194
0,303.9,312.7,1485,43.3,174
-1,297.7,307.2,1518,35.8,195
1,298.8,310.5,1294,55.8,202
0,300.1,309.4,1349,56.2,127
1,297.6,308.6,1463,46.7,85
0,301.0,311.2,1521,35.8,13
0,301.9,310.9,1483,37.0,35
0,303.9,313.1,1514,41.1,121
1,296.6,307.4,1333,50.2,177
-1,298.3,309.0,1339,58.8,35
1,301.7,310.2,1620,30.8,42
0,301.9,310.8,1557,35.3,65
-1,300.8,311.3,1524,43.5,71
-1,301.5,310.7,1466,47.3,77
-1,299.0,309.1,1394,45.1,179
-1,300.7,309.6,1810,26.0,195
0,298.2,308.7,1361,44.2,0
-1,302.2,311.3,1530,37.3,207
-1,297.6,308.3,1658,34.3,59
0,300.5,311.4,1743,27.6,46
-1,302.3,311.8,1433,50.3,183
-1,299.9,309.4,1858,22.5,22
-1,302.3,311.8,1605,35.2,152
1,298.7,309.7,1311,54.5,52
-1,300.9,311.6,1671,33.5,148
-1,303.5,311.8,1927,21.9,195
0,301.0,312.0,1558,37.5,190
0,302.0,310.4,1595,32.9,135
0,297.4,309.0,1497,41.8,144
1,299.0,308.8,1382,58.5,199
-1,300.2,310.1,1440,51.1,41
-1,300.7,310.7,1416,40.4,214
1,301.8,310.5,1478,38.6,141
0,295.8,306.5,1514,37.7,60
-1,302.3,311.4,1535,41.8,77
-1,300.4,310.5,1818,25.1,14
0,302.2,311.2,1360,52.8,176
1,298.3,309.0,1379,43.2,0
0,300.5,309.4,2179,16.3,59
0,300.1,309.2,1457,44.3,98
-1,298.4,308.9,1496,37.9,194
-1,300.7,311.2,1452,44.4,33
0,303.9,313.2,1350,47.2,2
-1,302.4,311.1,1520,42.2,143
1,296.9,307.8,1345,54.5,172
-1,300.5,309.9,1423,47.9,114
-1,301.5,310.9,1891,23.2,122
1,300.3,311.5,1464,41.0,29
0,303.5,312.7,2116,16.7,45
-1,300.4,310.0,1423,44.2,189
0,301.3,310.8,1509,40.1,25
-1,300.5,311.7,1811,26.8,47
-1,301.4,311.1,1800,26.0,135
0,300.3,311.8,1607,33.7,199
-1,299.0,309.1,1592,35.0,200
-1,302.3,311.3,1324,47.8,131
-1,300.6,310.2,1341,52.6,21
-1,301.5,310.7,1618,35.5,218
0,300.9,310.7,1420,43.0,133
1,296.7,307.5,1607,33.6,38
-1,299.3,310.6,1480,45.1,107
-1,300.8,311.9,1498,39.3,23
-1,301.6,310.8,1392,42.4,3
-1,303.4,311.7,1476,42.3,180
0,298.8,308.6,1707,28.1,103
0,298.7,308.5,1360,52.9,69
-1,298.8,309.6,1613,27.7,143
-1,298.4,309.6,1479,37.8,144
-1,299.0,308.8,1405,55.2,103
-1,299.1,308.8,1413,42.1,86
-1,297.6,308.7,1365,50.6,143
0,301.7,310.8,1516,40.4,48
0,296.9,308.1,1357,41.8,127
0,298.9,309.6,1472,46.0,199
-1,300.2,311.4,1331,49.8,143
0,300.5,309.4,1655,32.1,37
-1,300.3,309.4,1470,33.5,148
1,300.4,309.3,1396,51.2,54
-1,302.8,310.6,1670,29.1,2
1,300.6,310.4,1479,35.6,150
-1,299.8,309.4,1460,37.4,25
-1,298.2,308.2,1988,21.4,41
0,297.9,307.7,1527,42.8,125
-1,298.3,309.1,1437,38.0,93
-1,300.8,311.3,1782,26.9,116
0,298.8,310.2,1527,31.2,102
-1,298.2,307.8,2029,19.9,96
0,300.8,310.7,1371,44.7,205
0,302.1,311.5,1341,50.8,99
-1,299.3,308.6,1314,48.2,65
-1,299.0,309.0,1544,31.8,25
0,302.3,310.9,1762,24.5,73
0,297.2,308.5,1604,34.9,200
-1,297.3,308.6,1273,59.8,182
0,298.5,309.6,1572,33.0,127
-1,301.8,310.7,1597,30.8,74
-1,300.9,310.6,1504,46.4,129
-1,298.3,307.9,1507,41.2,149
0,298.9,308.6,1517,39.8,114
-1,298.3,309.4,1468,46.2,10
0,299.6,309.1,1435,48.4,143
0,296.3,307.4,1335,50.5,48
-1,298.9,310.1,1577,41.4,80
-1,298.7,309.8,1539,33.4,2
-1,299.1,308.5,1676,31.0,69
-1,303.8,312.5,1619,30.9,142
0,297.1,307.9,1662,26.9,183
0,298.3,309.6,1531,40.1,81
-1,304.2,313.3,1464,45.9,48
0,300.2,310.2,1438,51.5,7
0,298.0,307.7,1487,41.3,160
-1,296.7,307.9,1420,50.1,138
-1,302.7,311.7,1480,45.2,8
-1,302.7,312.1,1763,26.5,184
-1,300.7,311.0,1436,44.9,119
-1,303.1,311.3,1657,31.8,217
-1,298.0,308.7,1626,36.7,210
-1,297.9,308.6,1691,29.6,116
-1,300.0,309.4,2010,20.0,55
-1,302.2,310.9,1604,40.5,68
-1,301.5,310.5,1611,33.8,144
-1,303.9,313.2,1481,44.1,197
0,297.8,309.2,1295,61.2,12
-1,301.4,310.8,1477,50.4,90
-1,301.0,310.8,1375,57.2,20
0,300.3,311.5,1528,40.9,76
-1,298.8,308.8,1555,40.6,61
0,295.7,306.4,1387,40.1,81
0,300.2,311.6,1513,40.8,157
-1,302.5,311.1,1493,39.0,137
1,302.2,311.6,1534,37.2,41
-1,297.5,308.6,1694,27.1,36
-1,302.8,312.4,1590,34.4,64
-1,298.6,309.9,1556,38.6,36
0,300.6,310.7,1654,32.0,180
-1,301.5,311.1,1459,45.1,97
0,300.2,309.5,1642,28.8,92
-1,302.4,311.1,1446,42.9,5
-1,302.1,311.2,1422,50.3,146
0,298.0,308.7,1494,42.6,96
0,302.1,310.7,1364,47.8,213
-1,303.9,313.1,1310,62.9,130
-1,298.0,307.8,1839,22.7,79
-1,300.1,309.7,2151,17.5,173
-1,299.1,308.5,1455,39.8,145
-1,302.4,310.3,1900,24.4,113
0,299.0,310.3,1827,28.0,178
-1,301.0,311.3,1342,50.9,60
-1,297.9,308.6,2262,15.7,125
-1,301.4,310.7,1509,38.3,95
0,302.4,310.5,1500,36.7,164
0,297.5,309.5,1553,42.4,60
1,297.2,308.5,2440,14.0,166
-1,296.8,308.0,1666,29.8,41
-1,299.8,311.1,1452,47.3,188
0,299.7,309.2,1412,45.3,205
-1,302.4,310.3,1923,23.3,172
-1,297.9,307.7,1546,37.6,72
-1,298.7,309.8,1181,65.9,203
-1,299.5,310.0,1349,52.7,92
-1,300.1,309.6,1546,36.7,77
-1,299.4,310.9,1751,27.8,10
0,298.4,308.0,1416,38.2,198
-1,299.9,310.1,1681,29.1,197
0,298.3,308.9,1363,46.1,5
0,303.5,312.9,1618,30.4,130
0,301.1,310.5,1646,30.7,76
-1,299.8,309.2,1479,44.4,214
1,298.9,308.4,1449,42.4,149
-1,297.4,308.4,1531,41.5,213
1,299.9,310.1,1447,51.4,185
-1,303.8,312.6,1577,41.3,134
-1,299.1,310.3,1472,46.6,157
1,300.7,310.2,1877,24.8,64
1,303.4,311.7,1991,19.0,53
-1,301.1,310.1,1417,46.9,35
-1,296.6,307.6,1542,37.4,88
-1,301.1,310.6,1611,35.2,70
-1,299.8,309.8,1542,39.4,155
-1,298.0,308.0,1615,29.5,15
-1,300.4,310.5,2424,14.5,12
-1,297.6,308.6,1355,46.4,13
-1,300.3,311.5,1378,47.5,64
1,303.6,312.7,1403,46.2,57
-1,299.4,309.3,1377,43.6,28
0,299.8,311.1,1452,44.3,167
0,297.6,309.2,1442,48.1,0
-1,301.6,310.8,1564,34.1,150
-1,297.2,308.4,1462,51.2,102
