UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,M14860,0,298.1,308.6,1551,42.8,0,0,1
2,L47181,-1,298.2,308.7,1408,46.3,3,0,1
3,L47182,-1,298.1,308.5,1498,49.4,5,0,1
4,L47183,-1,298.2,308.6,1433,39.5,7,0,1
5,L47184,-1,298.2,308.7,1408,40.0,9,0,1
6,M14865,0,298.1,308.6,1425,41.9,11,0,1
7,L47186,-1,298.1,308.6,1558,42.4,14,0,1
8,L47187,-1,298.1,308.6,1527,40.2,16,0,1
9,M14868,0,298.3,308.7,1667,28.6,18,0,1
10,M14869,0,298.5,309.0,1741,28.0,21,0,1
11,H29424,1,298.4,308.9,1782,23.9,24,0,1
12,H29425,1,298.6,309.1,1423,44.3,29,0,1
13,M14872,0,298.6,309.1,1339,51.1,34,0,1
14,M14873,0,298.6,309.2,1742,30.0,37,0,1
15,L47194,-1,298.6,309.2,2035,19.6,40,0,1
16,L47195,-1,298.6,309.2,1542,48.4,42,0,1
17,M14876,0,298.6,309.2,1311,46.6,44,0,1
18,M14877,0,298.7,309.2,1410,45.6,47,0,1
19,H29432,1,298.8,309.2,1306,54.5,50,0,1
20,M14879,0,298.9,309.3,1632,32.5,55,0,1
21,H29434,1,298.9,309.3,1375,42.7,58,0,1
22,L47201,-1,298.8,309.3,1450,44.8,63,0,1
23,M14882,0,298.9,309.3,1581,30.7,65,0,1
24,L47203,-1,299.0,309.4,1758,25.7,68,0,1
25,M14884,0,299.0,309.4,1561,37.3,70,0,1
26,L47205,-1,299.0,309.5,1861,23.3,73,0,1
27,L47206,-1,299.1,309.5,1512,39.0,75,0,1
28,H29441,1,299.1,309.4,1811,24.6,77,0,1
29,L47208,-1,299.1,309.4,1439,44.2,82,0,1
30,L47209,-1,299.0,309.4,1693,30.1,84,0,1
31,M14890,0,299.1,309.5,1339,48.2,86,0,1
32,L47211,-1,299.0,309.4,1798,25.5,89,0,1
33,L47212,-1,299.0,309.4,1419,48.3,91,0,1
34,L47213,-1,298.9,309.3,1665,32.5,93,0,1
35,M14894,0,298.8,309.1,1559,34.7,95,0,1
36,M14895,0,298.8,309.2,1452,48.6,98,0,1
37,M14896,0,298.9,309.2,1581,36.7,101,0,1
38,L47217,-1,298.8,309.1,1439,39.2,104,0,1
39,H29452,1,298.9,309.2,1379,50.7,106,0,1
40,L47219,-1,298.8,309.1,1350,52.5,111,0,1
41,L47220,-1,298.8,309.1,1362,45.4,113,0,1
42,L47221,-1,298.8,309.1,1368,50.8,115,0,1
43,M14902,0,298.8,309.1,1368,49.1,117,0,1
44,H29457,1,298.8,309.2,1372,48.5,120,0,1
45,M14904,0,298.8,309.1,1472,47.5,125,0,1
46,L47225,-1,298.8,309.1,1489,49.1,128,0,1
47,M14906,0,298.7,309.0,1843,25.8,130,0,1
48,L47227,-1,298.8,309.1,1418,46.3,133,0,1
49,H29462,1,298.8,309.2,1425,53.9,135,0,1
50,M14909,0,298.9,309.2,1412,44.1,140,0,1
51,L47230,-1,298.9,309.1,2861,4.6,143,1,3
52,L47231,-1,298.9,309.1,1383,54.9,145,0,1
53,H29466,1,298.8,309.0,1497,43.8,147,0,1
54,L47233,-1,298.7,309.0,1565,35.1,152,0,1
55,L47234,-1,298.7,309.0,1691,30.1,154,0,1
56,L47235,-1,298.8,309.1,1512,40.7,156,0,1
57,L47236,-1,298.8,309.1,1477,42.4,158,0,1
58,L47237,-1,298.8,309.1,1513,40.3,160,0,1
59,M14918,0,298.8,309.0,1661,29.5,162,0,1
60,L47239,-1,298.8,309.1,1378,54.4,165,0,1
61,L47240,-1,298.8,309.1,1393,52.6,167,0,1
62,M14921,0,298.8,309.0,1592,38.2,169,0,1
